stadtteil,jahr,ew_ins
Altstadt,1988,689
Altstadt,1989,732
Altstadt,1990,763
Altstadt,1991,747
Altstadt,1992,914
Altstadt,1993,923
Altstadt,1994,942
Altstadt,1995,864
Altstadt,1996,808
Altstadt,1997,782
Altstadt,1998,794
Altstadt,1999,721
Altstadt,2000,710
Altstadt,2001,689
Altstadt,2002,718
Altstadt,2003,633
Altstadt,2004,601
Altstadt,2005,622
Altstadt,2006,604
Altstadt,2007,737
Altstadt,2008,653
Altstadt,2009,633
Altstadt,2010,608
Altstadt,2011,611
Altstadt,2012,626
Altstadt,2013,625
Altstadt,2014,654
Altstadt,2015,665
Altstadt,2016,757
Altstadt,2017,835
Altstadt,2018,1006
Altstadt,2019,1139
Altstadt,2020,1175
Altstadt,2021,1153
Vorstadt,1988,1174
Vorstadt,1989,1212
Vorstadt,1990,1209
Vorstadt,1991,1209
Vorstadt,1992,1214
Vorstadt,1993,1208
Vorstadt,1994,1190
Vorstadt,1995,1220
Vorstadt,1996,1160
Vorstadt,1997,1089
Vorstadt,1998,1033
Vorstadt,1999,1045
Vorstadt,2000,1057
Vorstadt,2001,1041
Vorstadt,2002,1013
Vorstadt,2003,1021
Vorstadt,2004,998
Vorstadt,2005,998
Vorstadt,2006,988
Vorstadt,2007,1010
Vorstadt,2008,1103
Vorstadt,2009,1116
Vorstadt,2010,1089
Vorstadt,2011,1087
Vorstadt,2012,1101
Vorstadt,2013,1134
Vorstadt,2014,1165
Vorstadt,2015,1305
Vorstadt,2016,1275
Vorstadt,2017,1318
Vorstadt,2018,1313
Vorstadt,2019,1284
Vorstadt,2020,1276
Vorstadt,2021,1275
Exerzierplatz,1988,6309
Exerzierplatz,1989,6436
Exerzierplatz,1990,6527
Exerzierplatz,1991,6638
Exerzierplatz,1992,6667
Exerzierplatz,1993,6566
Exerzierplatz,1994,6427
Exerzierplatz,1995,6482
Exerzierplatz,1996,6307
Exerzierplatz,1997,6157
Exerzierplatz,1998,6050
Exerzierplatz,1999,5916
Exerzierplatz,2000,5785
Exerzierplatz,2001,5829
Exerzierplatz,2002,5854
Exerzierplatz,2003,5911
Exerzierplatz,2004,5987
Exerzierplatz,2005,5985
Exerzierplatz,2006,6043
Exerzierplatz,2007,6085
Exerzierplatz,2008,6156
Exerzierplatz,2009,6183
Exerzierplatz,2010,6237
Exerzierplatz,2011,6308
Exerzierplatz,2012,6414
Exerzierplatz,2013,6426
Exerzierplatz,2014,6388
Exerzierplatz,2015,6397
Exerzierplatz,2016,6480
Exerzierplatz,2017,6511
Exerzierplatz,2018,6507
Exerzierplatz,2019,6409
Exerzierplatz,2020,6413
Exerzierplatz,2021,6343
Damperhof,1988,3076
Damperhof,1989,3145
Damperhof,1990,3151
Damperhof,1991,3174
Damperhof,1992,3199
Damperhof,1993,3135
Damperhof,1994,3141
Damperhof,1995,3140
Damperhof,1996,3126
Damperhof,1997,3048
Damperhof,1998,3016
Damperhof,1999,2920
Damperhof,2000,2810
Damperhof,2001,2845
Damperhof,2002,2804
Damperhof,2003,2814
Damperhof,2004,2887
Damperhof,2005,3021
Damperhof,2006,3112
Damperhof,2007,3098
Damperhof,2008,3101
Damperhof,2009,3106
Damperhof,2010,3124
Damperhof,2011,3207
Damperhof,2012,3214
Damperhof,2013,3302
Damperhof,2014,3319
Damperhof,2015,3329
Damperhof,2016,3349
Damperhof,2017,3325
Damperhof,2018,3377
Damperhof,2019,3339
Damperhof,2020,3335
Damperhof,2021,3396
Brunswik,1988,6470
Brunswik,1989,6569
Brunswik,1990,6600
Brunswik,1991,6663
Brunswik,1992,6639
Brunswik,1993,6574
Brunswik,1994,6522
Brunswik,1995,6564
Brunswik,1996,6437
Brunswik,1997,6277
Brunswik,1998,6113
Brunswik,1999,5996
Brunswik,2000,5965
Brunswik,2001,5898
Brunswik,2002,5938
Brunswik,2003,5877
Brunswik,2004,5875
Brunswik,2005,5715
Brunswik,2006,5792
Brunswik,2007,5869
Brunswik,2008,6036
