jahr,stadtteil,kfz_ins,krad,pkw_ins,pkw_privat,pkw_gewerb,nutz,anhaenger,ew_ins
2021,Altstadt,1339,33,1065,354,711,241,79,1153
2021,Vorstadt,1387,29,1266,412,854,92,48,1275
2021,Exerzierplatz,2920,177,2522,2061,461,221,221,6343
2021,Damperhof,1463,81,1318,1058,260,64,76,3396
2021,Brunswik,2680,144,2360,2017,343,176,152,6270
2021,Düsternbrook,2196,98,1954,1553,401,144,230,3135
2021,Blücherplatz,5467,331,4897,4569,328,239,303,11312
2021,Wik,10085,639,8899,8017,882,547,737,19487
2021,Ravensberg,5704,276,4767,3839,928,661,805,12201
2021,Schreventeich,7248,385,6007,3864,2143,856,383,11714
2021,Südfriedhof,7258,518,5899,4782,1117,841,442,15129
2021,Gaarden-Ost,5511,199,4552,3743,809,760,491,18728
2021,Gaarden-Süd/Kronsburg,6163,445,5265,4367,898,453,598,10680
2021,Hassee,7513,509,6054,4960,1094,950,768,12471
2021,Hasseldieksdamm,2760,149,1985,1393,592,626,403,2805
2021,Ellerbek,2898,206,2537,2426,111,155,248,6216
2021,Wellingdorf,4035,315,3486,3213,273,234,366,8067
2021,Holtenau,3233,215,2894,2756,138,124,287,5785
2021,Pries,3949,378,3437,3354,83,134,408,7273
2021,Friedrichsort,1167,90,1029,845,184,48,81,2041
2021,Neumühlen/Dietrichsdorf,5454,414,4783,4594,189,257,488,12610
2021,Elmschenhagen,9832,818,8542,8229,313,472,1007,17125
2021,Suchsdorf,5797,421,5143,4785,358,233,429,9241
2021,Schilksee,3361,197,3032,2861,171,132,326,4925
2021,Mettenhof,7698,339,7117,6667,450,242,388,20056
2021,Russee,4923,325,4127,3967,160,471,411,6988
2021,Meimersdorf,2041,159,1779,1751,28,103,183,3264
2021,Moorsee,2189,126,1525,1169,356,538,418,2168
2021,Wellsee,4967,257,3617,2728,889,1093,573,5282
2021,Rönne,361,40,282,278,4,39,67,406
2021,Kiel,131615,8314,112154,96620,15534,11147,11419,247546
2020,Altstadt,1096,30,981,351,630,85,49,1175
2020,Vorstadt,1425,28,1285,403,882,112,63,1276
2020,Exerzierplatz,2870,173,2505,2047,458,192,212,6413
2020,Damperhof,1657,78,1379,1040,339,200,101,3335
2020,Brunswik,2671,150,2347,2007,340,174,153,6237
2020,Düsternbrook,2203,85,1978,1557,421,140,218,3196
2020,Blücherplatz,5402,330,4845,4470,375,227,284,11230
2020,Wik,9954,617,8838,7956,882,499,709,19565
2020,Ravensberg,5735,292,4781,3738,1043,662,771,12245
2020,Schreventeich,7178,371,6019,3812,2207,788,376,11844
2020,Südfriedhof,7255,500,6015,4783,1232,740,439,15310
2020,Gaarden-Ost,5502,201,4525,3704,821,776,497,18677
2020,Gaarden-Süd/Kronsburg,6024,431,5152,4306,846,441,584,10646
2020,Hassee,7551,520,6100,4966,1134,931,777,12414
2020,Hasseldieksdamm,2662,144,1882,1395,487,636,398,2836
2020,Ellerbek,2946,220,2586,2478,108,140,246,6319
2020,Wellingdorf,4001,312,3469,3199,270,220,365,8024
2020,Holtenau,3195,208,2871,2736,135,116,268,5715
2020,Pries,3917,379,3412,3339,73,126,402,7267
2020,Friedrichsort,1137,94,999,822,177,44,76,2076
2020,Neumühlen/Dietrichsdorf,5441,410,4794,4608,186,237,477,12562
2020,Elmschenhagen,9912,837,8642,8314,328,433,984,17193
2020,Suchsdorf,5983,396,5372,4821,551,215,416,9262
2020,Schilksee,3381,206,3044,2864,180,131,338,4926
2020,Mettenhof,7713,344,7123,6677,446,246,395,19919
2020,Russee,4934,325,4118,3962,156,491,407,7012
2020,Meimersdorf,2039,167,1765,1745,20,107,183,3292
2020,Moorsee,2158,129,1509,1158,351,520,404,2109
2020,Wellsee,4972,246,3533,2720,813,1193,538,5365
2020,Rönne,362,42,285,282,3,35,63,423
2020,Kiel,131335,8270,112203,96305,15898,10862,11199,247863
2019,Altstadt,1049,31,937,329,608,81,40,1139
2019,Vorstadt,1416,31,1306,396,910,79,66,1284
2019,Exerzierplatz,2827,173,2467,2036,431,187,198,6409
2019,Damperhof,1620,72,1364,1027,337,184,103,3339
2019,Brunswik,2702,162,2376,2030,346,164,151,6225
2019,Düsternbrook,2189,85,1969,1525,444,135,222,3187
2019,Blücherplatz,5312,321,4763,4421,342,228,278,11178
2019,Wik,9820,603,8741,7902,839,476,673,19561
2019,Ravensberg,5695,286,4751,3709,1042,658,762,12160
2019,Schreventeich,7164,359,6056,3825,2231,749,356,11869
2019,Südfriedhof,6915,479,5918,4704,1214,518,440,15212
2019,Gaarden-Ost,5290,219,4333,3500,833,738,524,18558
2019,Gaarden-Süd/Kronsburg,6081,431,5184,4247,937,466,584,10635
2019,Hassee,7426,499,5985,4875,1110,942,757,12477
2019,Hasseldieksdamm,2736,142,1950,1419,531,644,407,2801
2019,Ellerbek,2849,210,2515,2415,100,124,236,6322
2019,Wellingdorf,4080,316,3539,3179,360,225,374,8049
2019,Holtenau,3094,193,2789,2656,133,112,272,5627
2019,Pries,3856,340,3398,3328,70,118,403,7307
2019,Friedrichsort,1107,81,983,813,170,43,83,2069
2019,Neumühlen/Dietrichsdorf,5379,411,4736,4554,182,232,474,12742
2019,Elmschenhagen,9808,854,8550,8246,304,404,969,17264
2019,Suchsdorf,5971,402,5354,4765,589,215,407,9314
2019,Schilksee,3318,190,3008,2828,180,120,330,4905
2019,Mettenhof,7551,330,6991,6560,431,230,379,19897
2019,Russee,4930,340,4094,3946,148,496,406,7054
2019,Meimersdorf,2016,167,1733,1717,16,116,177,3313
2019,Moorsee,2095,132,1491,1154,337,472,362,2094
2019,Wellsee,4907,253,3496,2698,798,1158,534,5350
2019,Rönne,358,41,291,291,26,64,NA,436
2019,Kiel,129620,8160,111116,95138,15978,10344,11038,247777
2018,Altstadt,939,23,837,271,566,79,40,1006
2018,Vorstadt,1445,28,1316,403,913,101,70,1313
2018,Exerzierplatz,2855,177,2496,2087,409,182,192,6507
2018,Damperhof,1636,70,1389,1058,331,177,107,3377
2018,Brunswik,2711,174,2376,2049,327,161,154,6318
2018,Düsternbrook,2214,86,1985,1514,471,143,219,3158
2018,Blücherplatz,5261,333,4721,4415,306,207,285,11217
2018,Wik,9721,579,8658,7810,848,484,668,19695
2018,Ravensberg,5424,295,4516,3706,810,613,624,12182
2018,Schreventeich,7174,365,6075,3848,2227,734,347,11978
2018,Südfriedhof,6912,492,5941,4727,1214,479,446,15387
2018,Gaarden-Ost,5206,211,4284,3457,827,711,535,18633
2018,Gaarden-Süd/Kronsburg,5856,430,4984,4211,773,442,569,10699
2018,Hassee,7341,518,5900,4826,1074,923,744,12340
2018,Hasseldieksdamm,2693,143,1935,1415,520,615,390,2827
2018,Ellerbek,2793,217,2462,2361,101,114,229,6363
2018,Wellingdorf,4062,297,3546,3199,347,219,360,8026
2018,Holtenau,3095,206,2784,2648,136,105,263,5763
2018,Pries,3835,348,3382,3304,78,105,388,7422
2018,Friedrichsort,1079,84,952,806,146,43,70,2083
2018,Neumühlen/Dietrichsdorf,5318,406,4693,4509,184,219,467,12677
2018,Elmschenhagen,9698,835,8478,8189,289,385,947,17284
2018,Suchsdorf,5989,395,5398,4800,598,196,395,9339
2018,Schilksee,3329,200,3013,2861,152,116,340,4973
2018,Mettenhof,7531,347,6948,6534,414,236,361,20008
2018,Russee,4935,330,4095,3952,143,510,416,7066
2018,Meimersdorf,2019,163,1738,1722,16,118,179,3326
2018,Moorsee,2056,134,1471,1135,336,451,348,2098
2018,Wellsee,4813,253,3452,2688,764,1108,534,5302
2018,Rönne,351,46,280,278,2,25,66,425
2018,Kiel,128350,8190,110156,94828,15328,10004,10758,248792
2017,Altstadt,893,17,795,230,565,81,41,835
2017,Vorstadt,1436,31,1306,391,915,99,73,1318
2017,Exerzierplatz,2816,173,2471,2054,417,172,194,6511
2017,Damperhof,1647,72,1403,1083,320,172,107,3325
2017,Brunswik,2634,152,2328,2012,316,154,151,6345
2017,Düsternbrook,2263,90,2052,1505,547,121,221,3239
2017,Blücherplatz,5224,324,4708,4426,282,192,280,11221
2017,Wik,9565,580,8514,7697,817,471,626,19656
2017,Ravensberg,5592,312,4693,3688,1005,587,573,12423
2017,Schreventeich,6959,371,5888,3804,2084,700,322,11888
